Id,Bank,Name,Sitz,Land,Verband
209,sparkasse,Rhön-Rennsteig-Sparkasse,Meiningen,TH,SGVHT
210,sparkasse,Kreissparkasse Melle,Melle,NI,SVN
211,sparkasse,Kreissparkasse Schwalm-Eder,Melsungen,HE,SGVHT
212,sparkasse,Sparkasse Schwaben-Bodensee,Memmingen,BY,SVB
213,sparkasse,Sparkasse Emsland,Meppen,NI,SVN
214,sparkasse,Sparkasse Merzig-Wadern,Merzig,SL,SVS
215,sparkasse,Sparkasse Mitten im Sauerland,Meschede,NW,SVWL
216,sparkasse,Kreissparkasse Miesbach-Tegernsee,Miesbach,BY,SVB
217,sparkasse,Sparkasse Miltenberg-Obernburg,Miltenberg und Obernburg,BY,SVB
218,sparkasse,Sparkasse Minden-Lübbecke,Minden,NW,SVWL
219,sparkasse,Sparkasse am Niederrhein,Moers,NW,RSGV
220,sparkasse,Kreissparkasse Herzogtum Lauenburg,Mölln,SH,SGVSH
221,sparkasse,Stadtsparkasse Mönchengladbach,Mönchengladbach,NW,RSGV
222,sparkasse,Sparkasse Neckartal-Odenwald,Mosbach,BW,SVBW
223,sparkasse,Sparkasse Altötting-Mühldorf,Mühldorf am Inn,BY,SVB
224,sparkasse,Sparkasse Unstrut-Hainich,Mühlhausen/Thüringen,TH,SGVHT
225,sparkasse,Sparkasse Mülheim an der Ruhr,Mülheim an der Ruhr,NW,RSGV
226,sparkasse,Stadtsparkasse München,München,BY,SVB
227,sparkasse,Kreissparkasse München Starnberg Ebersberg,München,BY,SVB
228,sparkasse,Sparkasse Münsterland Ost,Münster,NW,SVWL
229,sparkasse,Sparkasse Neubrandenburg-Demmin,Neubrandenburg,MV,OSV
230,sparkasse,Sparkasse Neuburg-Rain,Neuburg an der Donau,BY,SVB
231,sparkasse,Sparkasse Neumarkt i.d.OPf.-Parsberg,Neumarkt in der Oberpfalz und Parsberg,BY,SVB
232,sparkasse,Sparkasse Südholstein,Neumünster,SH,SGVSH
233,sparkasse,Sparkasse Neunkirchen,Neunkirchen,SL,SVS
234,sparkasse,Sparkasse Ostprignitz-Ruppin,Neuruppin,BB,OSV
235,sparkasse,Sparkasse Neuss,Neuss,NW,RSGV
236,sparkasse,Sparkasse im Landkreis Neustadt a. d. Aisch - Bad Windsheim,Neustadt an der Aisch,BY,SVB
237,sparkasse,Vereinigte Sparkassen Eschenbach i.d.OPf. Neustadt a.d.Waldnaab Vohenstrauß,Neustadt an der Waldnaab,BY,SVB
238,sparkasse,Sparkasse Mecklenburg-Strelitz,Neustrelitz,MV,OSV
239,sparkasse,Sparkasse Neu-Ulm - Illertissen,Neu-Ulm,BY,SVB
240,sparkasse,Sparkasse Neuwied,Neuwied,RP,SVRP
241,sparkasse,Sparkasse Nienburg,Nienburg/Weser,NI,SVN
242,sparkasse,Kreissparkasse Nordhausen,Nordhausen,TH,SGVHT
